Cancer type,Datasets,Omics,Origin,Year,Country,PMID,Journal,Data banks/repositories,Accession numbers/web links
LUAD,Lambrechts_2018,scRNA-seq,h,2018,Belgium,29988129,Nature Medicine,scRNAseq-NSCLC,https://gbiomed.kuleuven.be/scRNAseq-NSCLC
LUSC,Lambrechts_2018,scRNA-seq,h,2018,Belgium,29988129,Nature Medicine,scRNAseq-NSCLC,https://gbiomed.kuleuven.be/scRNAseq-NSCLC
LUAD,Kinker_2020,scRNA-seq,cells,2020,Israel,33128048,Nature Genetics,Single cell portal,https://singlecell.broadinstitute.org/single_cell/study/SCP542/pan-cancer-cell-line-heterogeneity
LUSC,Kinker_2020,scRNA-seq,cells,2020,Israel,33128048,Nature Genetics,Single cell portal,https://singlecell.broadinstitute.org/single_cell/study/SCP542/pan-cancer-cell-line-heterogeneity
SCLC,Kinker_2020,scRNA-seq,cells,2020,Israel,33128048,Nature Genetics,Single cell portal,https://singlecell.broadinstitute.org/single_cell/study/SCP542/pan-cancer-cell-line-heterogeneity
LUAD,Xing_2021,scRNA-seq,h,2021,China,33571124,Science Advances,3CA,https://www.weizmann.ac.il/sites/3CA/lung
LUAD,Monteiro_2022,scRNA-seq,m,2022,Spain,35411077,Nature Medicine,GEO,GSE189024
LUAD,Zhu_2022,scRNA-seq,h,2022,China,36434043,Experimental And Molecular Medicine,GEO,GSE189357
LUAD,He_2022,scRNA-seq,h,2022,China,35874770,Frontiers in Immunology,GEO,GSE203360
LUAD,Wu_2021,scRNA-seq,h,2021,China,33953163,Nature Communications,GEO,GSE148071
LUSC,Wu_2021,scRNA-seq,h,2021,China,33953163,Nature Communications,GEO,GSE148071
LUAD,Zhang_2022,scRNA-seq,h,2022,China,35027529,Signal Transduction And Targeted Therapy,LungCancer,https://lungcancer.chenlulab.com/
LUSC,Zhang_2022,scRNA-seq,h,2022,China,35027529,Signal Transduction And Targeted Therapy,LungCancer,https://lungcancer.chenlulab.com/
LUAD,Li_2022,scRNA-seq,h,2022,China,35962452,Genome Medicine,GEO,GSE119911
LUSC,Li_2022,scRNA-seq,h,2022,China,35962452,Genome Medicine,GEO,GSE119911
LUAD,Laughney_2020,scRNA-seq,h,2020,USA,32042191,Nature Medicine,GEO,GSE123902
LUAD,Deng_2024,scRNA-seq,h,2024,China,38554705,Cell Reports Medicine,Figshare,https://figshare.com/articles/dataset/Multicellular_ecotypes_shape_progression_of_lung_adenocarcinoma_from_ground-glass_opacity_towards_advanced_stages/25287325?file=44695465
LUAD,Hu_2023,scRNA-seq,h,2023,China,36869384,Genome Medicine,GEO,GSE207422
LUSC,Hu_2023,scRNA-seq,h,2023,China,36869384,Genome Medicine,GEO,GSE207422
LUAD,Song_2019,scRNA-seq,h,2019,USA,31033233,Cancer Medicine,GEO,GSE117570
LUSC,Song_2019,scRNA-seq,h,2019,USA,31033233,Cancer Medicine,GEO,GSE117570
LUAD,Zhuang_2022,scRNA-seq,h,2022,China,,,GEO,GSE150938
LUAD,Bischoff_2021,scRNA-seq,h,2021,Germany,34663877,Oncogene,code ocean,https://doi.org/10.24433/CO.0121060.v1
SCLC,Tian_2022,scRNA-seq,h,2022,China,36195615,Signal Transduction And Targeted Therapy,OMIX,OMIX002441
SCLC,Ireland_2020,scRNA-seq,h,2020,USA,32473656,Cancer Cell,GEO,GSE150766
SCLC,Stewart_2020,scRNA-seq,m,2020,USA,33521652,Nature Cancer,GEO,GSE138267
SCLC,Chan_2021,scRNA-seq,h,2021,USA,34653364,Cancer Cell,CELLxGENE,https://datasets.cellxgene.cziscience.com/44d1c1aa-7c79-4cca-9edf-f4e97edc047a.rds
